"Qty";"Value";"Device";"Package";"Parts";"Description";"COLOR";"DIGIKEY#";"I";"I_MAX";"MANF";"MANF#";"OPERATING_TEMP";"PACKAGE";"TC";"TOLERANCE";"V";"VALUE";"VOLTAGE";"V_MAX";
"1";"0";"0R-5%-0603";"R0603";"R22";"";"";"311-0.0GRCT-ND";"";"";"Yageo";"RC0603JR-070RL";"";"0603";"";"5%";"";"0";"";"";
"12";"0.1µF";"0.1µF-16V_10%_X7R-0603";"C0603";"C6, C7, C8, C9, C10, C11, C12, C13, C14, C17, C18, C19";"";"";"490-1532-1-ND";"";"";"Murata Electronics North America";"GRM188R71C104KA01D";"-55°C ~ 125°C";"0603";"X7R";"+-10%";"";"0.1µF";"16V";"";
"5";"10K";"10K-5%-0603";"R0603";"R11, R12, R13, R14, R24";"";"";"311-10KGRCT-ND";"";"";"Yageo";"RC0603JR-0710KL";"";"0603";"";"5%";"";"10K";"";"";
"8";"120R";"120R-1%-0603";"R0603";"R15, R16, R17, R18, R19, R20, R21, R23";"";"";"YAG3563CT-ND";"";"";"Yageo";"AC0603FR-07120RL";"";"0603";"";"1%";"";"120R";"";"";
"2";"18pF";"18PF-50V_5%_NP0-0603";"C0603";"C1, C2";"";"";"445-1272-2-ND";"";"";"TDK Corporation";"C1608C0G1H180J080AA";"-55°C ~ 125°C";"0603";"C0G, NP0";"+-5%";"";"18pF";"50V";"";
"4";"1K";"1K-5%-0603";"R0603";"R1, R2, R3, R4";"";"";"311-1.0KGRCT-ND";"";"";"Yageo";"RC0603JR-071KL";"";"0603";"";"5%";"";"1K";"";"";
"1";"1K5";"R-5%-0603";"R0603";"R7";"";"";"311-1.50KHRCT-ND";"";"";"Yageo";"RC0603FR-071K5L";"";"0603";"";"5%";"";"";"";"";
"2";"22R";"R-5%-0603";"R0603";"R5, R6";"";"";"311-22NCT-ND";"";"";"Yageo";"RC0201JR-0722RL";"";"0603";"";"5%";"";"";"";"";
"4";"4.7µF";"4.7µF-6.3V_10%_X5R-0603";"C0603";"C3, C4, C5, C15";"";"";"490-3297-1-ND";"";"";"Murata Electronics North America";"GRM188R60J475KE19D";"-55°C ~ 85°C";"0603";"X5R";"+-10%";"";"4.7µF";"6.3V";"";
"1";"4K7";"4K7-1%-0603";"R0603";"R10";"";"";"311-4.70KHRCT-ND";"";"";"Yageo";"RC0603FR-074K7L";"";"0603";"";"1%";"";"4K7";"";"";
"4";"74LVC2T45";"74LVC2T45";"VSSOP8";"IC3, IC4, IC5, IC6";"Voltage Level Translator Bidirectional 1 Circuit 2 Channel 420Mbps";"";"1727-4578-2-ND";"";"";"Nexperia USA Inc";"74LVC2T45DC,125";"";"";"";"";"";"";"";"";
"1";"8 MHz";"CRYSTAL-4P-8MHZ-3.2X5-4P";"OSCILLATOR-5.0X3.2-4P";"Q1";"Smd Crystal 18pF";"";"535-9720-2-ND";"";"";"Abracon LLC";"ABM3B-8.000MHZ-B2-T";"";"";"";"";"";"8 MHz";"";"";
"1";"AP2127-3.3";"AP2127-3.3";"SOT23-5";"IC2";"IC REG LINEAR 3.3V 300MA SOT23-5";"";"AP2127K-3.3TRG1DITR-ND";"";"300mA";"Diodes Incorporated";"AP2127K-3.3TRG1";"";"";"";"";"";"";"";"6V";
"1";"BAT30SWFILM";"BAT30SWFILM";"SC70";"D2";"Diode Array 1 Pair Series Connection Schottky 30V 300mA (DC) Surface Mount SC-70, SOT-323";"";"497-5553-2-ND";"";"";"STMicroelectronics";"BAT30SWFILM";"";"";"";"";"";"";"";"";
"1";"CON-2X5P";"CON-2X5P";"200215-00010T1LF";"CON4";"";"";"609-4054-ND";"";"";"Amphenol ICC (FCI)";"20021521-00010T1LF";"";"";"";"";"";"";"";"";
"1";"CON-6P-DF13";"CON-6P-DF13";"DF13C-6P-1.25V";"CON5";"CONN HEADER 6 POS";"";"H3423-ND";"";"";"Hirose Electric Co Ltd";"DF13C-6P-1.25V(20)";"";"";"";"";"";"";"";"";
"1";"CON-6P-SM06B";"CON-6P-SM06B";"SM06B";"CON3";"CONN HEADER 6 POS";"";"455-1806-1-ND";"";"";"JST Sales America Inc";"SM06B-SRSS-TB(LF)(SN)";"";"";"";"";"";"";"";"";
"1";"DMG1023UV-7";"DMG1023UV-7";"SOT-563";"Q2";"Mosfet Array 2 P-Channel (Dual) 20V 1.03A 530mW Surface Mount SOT-563";"";"DMG1023UV-7DICT-ND";"";"";"Diodes Incorporated";"DMG1023UV-7";"";"SOT-563";"";"";"";"";"";"";
"1";"DMG1024UV-7";"DMG1024UV-7";"SOT-563";"Q3";"Mosfet Array 2 N-Channel (Dual) 20V 1.38A 530mW Surface Mount SOT-563";"";"DMG1024UV-7DICT-ND";"";"";"Diodes Incorporated";"DMG1024UV-7";"";"SOT-563";"";"";"";"";"";"";
"1";"LED-0603";"LED-0603";"LED0603";"LED3";"SMD LED";"GREEN";"160-1446-1-ND";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LED-0603";"LED-0603";"LED0603";"LED1";"SMD LED";"ORANGE";"160-1445-1-ND";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LED-0603";"LED-0603";"LED0603";"LED2";"SMD LED";"RED";"SML-D12U1WT86CT-ND";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LED-0603";"LED-0603";"LED0603";"LED0";"SMD LED";"YELLOW";"160-1448-1-ND";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"PRTR5V0U2X";"PRTR5V0U2X";"SOT143B";"D1";"";"";"568-4140-2-ND";"";"";"NXP USA Inc";"PRTR5V0U2X,215";"";"";"";"";"";"";"";"";
"1";"STM32F103CBT7";"STM32F103CBT7";"LQFP48";"IC1";"ARM® Cortex®-M3 STM32F1 Microcontroller IC 32-Bit 72MHz 128KB (128K x 8) FLASH 48-LQFP (7x7)";"";"497-11518-ND";"";"";"STMicroelectronics";"STM32F103CBT7";"";"";"";"";"";"";"";"";
"1";"TACT_SWITCH-FSMSM";"TACT_SWITCH-FSMSM";"FSMSM";"SW1";"tact switch";"";"450-1140-ND";"0.05A";"";"TE Connectivity ALCOSWITCH Switches";"FSMSMTR";"";"";"";"";"24V";"";"";"";
"1";"USB-1";"USB-1";"MICRO_USB_WITH_PEGS";"CON1";"Connector Receptacle USB - micro B 2.0 5 Position";"";"609-4616-1-ND";"";"";"FCI";"10118193-0001LF";"";"";"";"";"";"";"";"";
